start_time,end_time,state
0.0,0.2404006677796327,S1
0.2604340567612688,0.4808013355592654,systole
0.5008347245409015,0.5609348914858097,S2
0.5809682804674458,0.9415692821368948,diastole
0.9616026711185308,1.0617696160267112,S1
1.0818030050083471,1.3021702838063438,systole
1.32220367278798,1.3823038397328882,S2
1.4023372287145242,1.7629382303839733,diastole
1.7829716193656093,1.8831385642737897,S1
1.9031719532554257,2.1035058430717863,systole
2.1235392320534223,2.1836393989983307,S2
2.2036727879799667,2.5843071786310516,diastole
2.6043405676126876,2.704507512520868,S1
2.724540901502504,2.9248747913188646,systole
2.9449081803005006,3.005008347245409,S2
3.025041736227045,3.726210350584307,diastole
3.7462437395659434,3.8464106844741233,S1
3.8664440734557597,4.567612687813021,systole
4.587646076794658,4.647746243739566,S2
4.667779632721202,5.048414023372287,diastole
5.068447412353923,5.168614357262103,S1
5.188647746243739,5.409015025041736,systole
5.429048414023372,5.489148580968281,S2
5.509181969949917,5.869782971619365,diastole
5.889816360601001,5.989983305509182,S1
6.010016694490818,6.210350584307179,systole
6.230383973288815,6.290484140233723,S2
6.310517529215359,6.691151919866444,diastole
6.71118530884808,6.811352253756261,S1
6.831385642737897,7.031719532554257,systole
7.051752921535893,7.111853088480801,S2
7.131886477462437,7.833055091819699,diastole
7.853088480801335,7.953255425709516,S1
7.973288814691152,12.0,systole
