start_time,end_time,state
0.0,0.14023372287145242,S1
0.16026711185308848,0.28046744574290483,systole
0.3005008347245409,0.3606010016694491,S2
0.3806343906510851,0.4607679465776294,diastole
0.4808013355592654,0.5809682804674458,S1
0.6010016694490818,0.7412353923205343,systole
0.7612687813021702,0.8213689482470784,S2
0.8414023372287145,0.9415692821368948,diastole
0.9616026711185308,1.0617696160267112,S1
1.0818030050083471,1.2420701168614356,systole
1.2621035058430718,1.32220367278798,S2
1.342237061769616,1.4824707846410685,diastole
1.5025041736227045,1.6026711185308848,S1
1.6227045075125208,1.7829716193656093,systole
1.8030050083472453,1.8631051752921535,S2
1.8831385642737897,2.003338898163606,diastole
2.023372287145242,2.1235392320534223,S1
2.1435726210350583,2.343906510851419,systole
2.363939899833055,2.4240400667779634,S2
2.4440734557595993,2.5642737896494157,diastole
2.5843071786310516,2.684474123539232,S1
2.704507512520868,2.8848080133555927,systole
2.9048414023372287,2.964941569282137,S2
2.984974958263773,3.1252086811352253,diastole
3.1452420701168613,3.2454090150250416,S1
3.2654424040066776,3.4657762938230383,systole
3.4858096828046743,3.5459098497495827,S2
3.5659432387312187,3.666110183639399,diastole
3.686143572621035,3.7863105175292153,S1
3.8063439065108513,4.046744574290484,systole
4.06677796327212,4.126878130217029,S2
4.146911519198665,4.267111853088481,diastole
4.287145242070117,4.387312186978297,S1
4.407345575959933,4.607679465776294,systole
4.62771285475793,4.687813021702838,S2
4.707846410684474,4.888146911519199,diastole
4.908180300500835,5.0083472454090145,S1
5.028380634390651,5.188647746243739,systole
5.208681135225375,5.268781302170284,S2
5.28881469115192,5.409015025041736,diastole
5.429048414023372,5.529215358931553,S1
5.549248747913189,12.0,systole
