filename,original_file,label,label_id,split,feature_shape,audio_length,sample_rate,feature_dimensions,time_frames
201105041959_cardiac_pcgmix_plus_201105040918_alpha0.40_optimal_111.npy,201105041959_cardiac_pcgmix_plus_201105040918_alpha0.40_optimal_111.wav,artifact,0,train,"(181, 563)",144000,12000,181,563
201106212112_cardiac_pcgmix_plus_201106031558_alpha0.47_basic_36.npy,201106212112_cardiac_pcgmix_plus_201106031558_alpha0.47_basic_36.wav,artifact,0,train,"(181, 563)",144000,12000,181,563
201105060108_cardiac_pcgmix_201106212112_alpha0.54_optimal_5.npy,201105060108_cardiac_pcgmix_201106212112_alpha0.54_optimal_5.wav,artifact,0,train,"(181, 563)",144000,12000,181,563
201106010559_cardiac_pcgmix_201106171003_alpha0.33_optimal_13.npy,201106010559_cardiac_pcgmix_201106171003_alpha0.33_optimal_13.wav,artifact,0,train,"(181, 563)",144000,12000,181,563
201106061233_cardiac_pcgmix_plus_201106131834_alpha0.63_optimal_29.npy,201106061233_cardiac_pcgmix_plus_201106131834_alpha0.63_optimal_29.wav,artifact,0,train,"(181, 563)",144000,12000,181,563
201106010559_cardiac_pcgmix_plus_201105041959_alpha0.46_basic_9.npy,201106010559_cardiac_pcgmix_plus_201105041959_alpha0.46_basic_9.wav,artifact,0,train,"(181, 563)",144000,12000,181,563
201105051017_cardiac_pcgmix_201106010602_alpha0.56_basic_106.npy,201105051017_cardiac_pcgmix_201106010602_alpha0.56_basic_106.wav,artifact,0,train,"(181, 563)",144000,12000,181,563
201106101955.npy,201106101955.wav,artifact,0,train,"(181, 563)",144000,12000,181,563
201105041959_cardiac_pcgmix_plus_201105190800_alpha0.57_basic_14.npy,201105041959_cardiac_pcgmix_plus_201105190800_alpha0.57_basic_14.wav,artifact,0,train,"(181, 563)",144000,12000,181,563
201105190800_cardiac_pcgmix_201106010602_alpha0.57_optimal_108.npy,201105190800_cardiac_pcgmix_201106010602_alpha0.57_optimal_108.wav,artifact,0,train,"(181, 563)",144000,12000,181,563
201106221254_cardiac_pcgmix_plus_201105060108_alpha0.44_optimal_30.npy,201106221254_cardiac_pcgmix_plus_201105060108_alpha0.44_optimal_30.wav,artifact,0,train,"(181, 563)",144000,12000,181,563
201106190520_cardiac_pcgmix_plus_201105190800_alpha0.37_basic_70.npy,201106190520_cardiac_pcgmix_plus_201105190800_alpha0.37_basic_70.wav,artifact,0,train,"(181, 563)",144000,12000,181,563
201106050353_cardiac_pcgmix_201105190800_alpha0.46_optimal_38.npy,201106050353_cardiac_pcgmix_201105190800_alpha0.46_optimal_38.wav,artifact,0,train,"(181, 563)",144000,12000,181,563
201105041959_cardiac_pcgmix_201106061233_alpha0.53_optimal_41.npy,201105041959_cardiac_pcgmix_201106061233_alpha0.53_optimal_41.wav,artifact,0,train,"(181, 563)",144000,12000,181,563
201106171003_cardiac_pcgmix_201106221254_alpha0.64_optimal_85.npy,201106171003_cardiac_pcgmix_201106221254_alpha0.64_optimal_85.wav,artifact,0,train,"(181, 563)",144000,12000,181,563
201106131834_cardiac_pcgmix_plus_201105040918_alpha0.69_optimal_75.npy,201106131834_cardiac_pcgmix_plus_201105040918_alpha0.69_optimal_75.wav,artifact,0,train,"(181, 563)",144000,12000,181,563
201106131834_cardiac_pcgmix_201105040918_alpha0.69_optimal_75.npy,201106131834_cardiac_pcgmix_201105040918_alpha0.69_optimal_75.wav,artifact,0,train,"(181, 563)",144000,12000,181,563
201106061233_cardiac_pcgmix_201106131834_alpha0.63_optimal_29.npy,201106061233_cardiac_pcgmix_201106131834_alpha0.63_optimal_29.wav,artifact,0,train,"(181, 563)",144000,12000,181,563
201106061233_cardiac_pcgmix_201106131834_alpha0.36_basic_109.npy,201106061233_cardiac_pcgmix_201106131834_alpha0.36_basic_109.wav,artifact,0,train,"(181, 563)",144000,12000,181,563
201106021541_cardiac_pcgmix_plus_201105041959_alpha0.40_basic_8.npy,201106021541_cardiac_pcgmix_plus_201105041959_alpha0.40_basic_8.wav,artifact,0,train,"(181, 563)",144000,12000,181,563
201106040933_cardiac_pcgmix_plus_201012172012_alpha0.55_basic_107.npy,201106040933_cardiac_pcgmix_plus_201012172012_alpha0.55_basic_107.wav,artifact,0,train,"(181, 563)",144000,12000,181,563
201106101314_cardiac_pcgmix_201106070949_alpha0.34_basic_94.npy,201106101314_cardiac_pcgmix_201106070949_alpha0.34_basic_94.wav,artifact,0,train,"(181, 563)",144000,12000,181,563
201106101314_cardiac_pcgmix_201106221254_alpha0.68_basic_54.npy,201106101314_cardiac_pcgmix_201106221254_alpha0.68_basic_54.wav,artifact,0,train,"(181, 563)",144000,12000,181,563
201106021541_cardiac_pcgmix_201105041959_alpha0.40_basic_8.npy,201106021541_cardiac_pcgmix_201105041959_alpha0.40_basic_8.wav,artifact,0,train,"(181, 563)",144000,12000,181,563
201106211041.npy,201106211041.wav,artifact,0,train,"(181, 563)",144000,12000,181,563
201105190800_cardiac_pcgmix_201106040947_alpha0.48_optimal_80.npy,201105190800_cardiac_pcgmix_201106040947_alpha0.48_optimal_80.wav,artifact,0,train,"(181, 563)",144000,12000,181,563
201106190520_cardiac_pcgmix_plus_201106211041_alpha0.46_basic_56.npy,201106190520_cardiac_pcgmix_plus_201106211041_alpha0.46_basic_56.wav,artifact,0,train,"(181, 563)",144000,12000,181,563
201106101955_cardiac_pcgmix_plus_201106031558_alpha0.53_optimal_25.npy,201106101955_cardiac_pcgmix_plus_201106031558_alpha0.53_optimal_25.wav,artifact,0,train,"(181, 563)",144000,12000,181,563
201106171003_cardiac_pcgmix_201106221254_alpha0.48_basic_82.npy,201106171003_cardiac_pcgmix_201106221254_alpha0.48_basic_82.wav,artifact,0,train,"(181, 563)",144000,12000,181,563
201106211430_cardiac_pcgmix_plus_201106040947_alpha0.34_optimal_102.npy,201106211430_cardiac_pcgmix_plus_201106040947_alpha0.34_optimal_102.wav,artifact,0,train,"(181, 563)",144000,12000,181,563
201106010559_cardiac_pcgmix_201106211430_alpha0.60_optimal_78.npy,201106010559_cardiac_pcgmix_201106211430_alpha0.60_optimal_78.wav,artifact,0,train,"(181, 563)",144000,12000,181,563
201106021541_cardiac_pcgmix_201106171003_alpha0.44_optimal_69.npy,201106021541_cardiac_pcgmix_201106171003_alpha0.44_optimal_69.wav,artifact,0,train,"(181, 563)",144000,12000,181,563
